Código,Produto,Estoque Físico,Estoque Disponível,Quant. Vendida,Sugestão Compras,Lj Sugestão,Última Venda,Lj Última Venda,Dados Compra,Dados Compra Valor,Dados Compra Data
,,,,,,,Data,,Qtde.,Valor,
,13147,0,0,288,288,11,28/05/2024,11,31/01/2024,250,280.0
,37333,0,0,20,20,11,29/01/2024,,0,0,
,42494,0,0,530,530,11,20/12/2024,11,28/11/2024,600,4.784
,12609,0,0,18,18,11,21/11/2024,11,21/10/2024,27,476.815
,41270,23,23,29,6,11,08/01/2025,11,21/10/2024,300,61.913
,36103,0,0,12,12,11,26/12/2024,11,05/12/2024,40,145.192
,190,0,0,6,6,11,18/12/2024,11,19/09/2024,200,14.803
,40674,15,15,2258,2243,11,19/12/2024,11,04/11/2024,1200,25.978
,41003,0,0,72,72,11,13/08/2024,11,19/01/2024,324,2.869
,41444,30,30,126,96,11,05/12/2024,11,21/11/2024,510,4.158
,41446,7,7,21,14,11,28/11/2024,11,19/01/2024,72,7.676
,547,292,292,316,24,11,08/01/2025,11,16/12/2024,1320,15.029
,39891,12,12,676,664,11,19/12/2024,11,28/11/2024,480,10.478
,4366,11,11,94,83,11,19/12/2024,11,28/11/2024,120,34.343
,889,0,0,2,2,11,22/11/2024,11,02/02/2023,120,16.96
,41673,5,5,96,91,11,19/12/2024,11,16/10/2024,336,63.673
,11413,177,177,371,194,11,08/01/2025,11,28/10/2024,600,17.989
,27904,0,0,10,10,11,11/04/2024,11,09/10/2023,48,54.88
,42455,0,0,26,26,11,11/11/2024,11,02/02/2024,800,130.0
,17939,59,59,72,13,11,08/01/2025,11,09/10/2024,312,27.291
,12382,1,1,43,42,11,18/03/2024,,0,0,
,26955,0,0,227,227,11,07/01/2025,11,11/09/2024,480,5.291
,1297,84,84,108,24,11,08/01/2025,11,10/12/2024,48,14.471
,1313,52,52,66,14,11,19/12/2024,11,10/12/2024,20,38.07
,8094,0,0,69,69,11,18/11/2024,11,17/09/2024,240,66.837
,40839,0,0,180,180,11,19/04/2024,11,08/12/2021,384,30.75
,41095,0,0,53,53,11,13/11/2024,11,02/02/2024,160,250.0
,16139,625,625,825,200,11,20/12/2024,,0,0,
,2575,164,164,250,86,11,18/12/2024,11,04/11/2024,316,33.764
,2607,22,22,42,20,11,18/12/2024,11,21/08/2024,504,22.075
,41616,1344,1344,1746,402,11,08/01/2025,11,19/11/2024,3120,8.646
,42319,0,0,104,104,11,18/12/2024,11,03/04/2024,240,15.07
,11415,6,6,16,10,11,19/12/2024,11,21/09/2023,96,61.7
,9449,0,0,18,18,11,13/11/2024,11,19/04/2024,120,12.457
,10310,1833,1833,1960,127,11,08/01/2025,11,07/01/2025,2400,46.19
,10311,0,-2,132,132,11,10/10/2024,11,11/06/2024,50,1275.0
,41004,0,0,10,10,11,06/12/2024,11,19/09/2024,20,210.317
,13110,0,0,1440,1440,11,22/11/2024,11,14/05/2024,5004,19.47
,13111,0,0,20,20,11,24/10/2024,11,20/11/2023,200,109.0
,11797,0,0,2607,2607,11,29/04/2024,11,29/11/2023,6720,28.727
,11798,0,0,47,47,11,04/11/2024,11,29/11/2023,600,137.754
,11799,0,0,9,9,11,13/08/2024,11,04/12/2023,135,454.922
,41481,3,3,29,26,11,18/12/2024,11,29/05/2024,48,52.14
,42092,0,0,32,32,11,11/09/2024,11,08/07/2024,60,20.74
,2428,0,0,28,28,11,17/07/2024,11,19/04/2024,72,26.372
,300006,70,70,189,119,11,08/01/2025,11,28/10/2024,480,37.618
,4627,32,92,46,14,11,08/01/2025,11,18/11/2024,60,7.49
,1107,0,0,19,19,11,27/08/2024,11,15/07/2024,60,37.967
,5721,0,24,52,52,11,19/11/2024,11,18/11/2024,48,6.82
,41745,0,0,24,24,11,07/11/2024,11,08/07/2024,120,80.05
,2543,79,79,290,211,11,08/01/2025,11,03/10/2024,1200,10.755
,41496,1,1,32,31,11,13/12/2024,11,09/10/2024,50,15.247
,5502,0,0,10,10,11,28/03/2024,11,12/03/2024,200,400.0
,13224,0,0,25,25,11,15/03/2024,11,27/02/2024,1500,66.0
,11875,0,0,5,5,11,12/01/2024,11,21/08/2023,420,282.881
,42456,53,53,2208,2155,11,19/12/2024,11,19/11/2024,1200,5.6
,36301,0,0,6,6,11,15/01/2024,11,15/12/2023,60,13.14
,10312,594,594,798,204,11,07/01/2025,11,07/01/2025,720,57.6
,2145,0,0,28,28,11,07/01/2025,11,21/11/2024,180,11.203
,12507,6,30,257,251,11,18/12/2024,11,11/09/2024,1608,6.492
,1859,250,250,270,20,11,08/01/2025,11,23/12/2024,300,5.54
,6270,0,0,24,24,11,04/04/2024,11,15/12/2023,240,11.57
,42294,0,0,4545,4545,11,26/11/2024,11,14/05/2024,5000,17.2
,13081,59,59,1060,1001,11,07/01/2025,11,21/11/2024,1500,43.0
Ges420 Vr: 7.6.0.4 de 18/09/2024 20:05:00,,Siagri Sistemas de Gestão (0xx64)3620-1550,,,,,,,,14:34:04,
,25387,1062,1062,1560,498,11,17/12/2024,11,07/01/2025,960,1.975
,10014,0,0,17610,17610,11,30/08/2024,11,24/06/2024,4320,22.344
,10189,0,0,950,950,11,17/09/2024,11,28/05/2024,360,99.75
,9662,0,0,616,616,11,20/08/2024,11,28/05/2024,192,319.2
,9261,0,0,42,42,11,29/10/2024,11,05/01/2024,308,128.85
,4036,0,0,36,36,11,19/11/2024,11,23/08/2024,120,8.76
,4035,0,0,5,5,11,22/11/2024,11,18/10/2024,30,21.93
,10494,1,1,38,37,11,07/01/2025,11,27/09/2024,1000,23.0
,4037,0,0,16,16,11,07/01/2025,11,18/10/2024,60,18.57
,41410,0,0,2,2,11,01/04/2024,11,13/09/2023,40,369.624
